,ID,Rad,U_Rad,KIC,Period,U_Period,DetectProb
1949,2274.01,2.68383936694836,0.1661334707089071,7960980,9.98970266,4.169e-05,0.0032301609270821586
1950,2276.01,2.377634449648798,0.101046501189187,3458028,1.442592305,4.873999999999999e-06,0.011900880673371677
1951,2278.01,2.5690700640768505,0.0787971190577736,3342794,14.17222858,5.555e-05,0.002543392899250556
1952,2278.02,1.2698942608274295,0.0637952482821123,3342794,4.92031063,3.082e-05,0.004526189524190324
1953,2279.01,1.9722085569002523,0.0872794336916202,3661886,27.0142622,0.0001497,0.0015125573702143074
1954,2279.02,1.5239039531776644,0.0357665956903558,3661886,12.50945798,7.469e-05,0.002421458766920582
1955,2280.01,3.3564315727608967,0.6210551663586292,2439243,26.0203329,0.0001869,0.0016518520796809481
1956,2281.01,0.8921596441743367,0.2149422647272262,9221517,0.769854899,1.243e-06,0.01521059952087541
1957,2281.02,1.4816176488606747,0.011810398848497265,9221517,455.27405,0.05654,1.3669745776902914e-07
1958,2282.01,2.622923989065168,0.1431710786888995,6751874,6.89226333,2.626e-05,0.004140292600908355
1959,2285.01,2.623128031592868,0.1538945531541978,9945370,37.9456138,0.0002107,0.0011721807003694249
1960,2286.01,2.0247552898361723,0.1044260157536116,8973129,24.1738244,0.0001243,0.0016253327728737565
1961,2287.01,1.0536324276818008,0.0200142245881282,9718066,16.09227518,6.165e-05,0.0011459347884777713
1962,2287.02,0.8441428388210755,0.1821090885614066,9718066,28.9060526,0.000233,0.0001988948010539374
1963,2288.01,4.286412532501132,0.8572825065002265,3440978,38.103908,0.0002255,0.0012116862656646743
1964,2289.01,2.3163000180732616,0.1013201660941195,3867615,62.7843981,0.0004231,0.0008218251161074032
1965,2289.02,1.6029583915702077,0.0840518746466404,3867615,20.0983676,0.0001238,0.0017564256348742554
1966,2290.01,1.7676906095868117,0.0964583124169509,12121570,91.500873,0.0005231,0.0004795346818537542
1967,2291.01,2.2852498172406555,0.919542787790412,8410415,44.2993483,0.0002664,0.0009598895484541226
1968,2293.01,1.643419314331248,0.0951742724884858,8321314,15.03366411,6.423e-05,0.002171575814118797
1969,2294.01,4.126712444250576,0.1874251627335418,6934986,131.485184,0.001433,0.0004985356284836493
1970,2296.01,3.1354434351063225,0.7539699557282431,11498128,106.247882,0.001904,0.0005731724404255393
1971,2297.01,1.5264309914933305,0.0774720218840935,5342473,4.64495172,2.568e-05,0.005041812334895102
1972,2299.01,27.01154764020804,5.4023095280416085,9963265,16.48686712,3.61e-05,0.0023393035948013957
1973,2300.01,1.310690691531896,0.158749850002133,10583761,2.685054445,4.508e-06,0.007210244107485211
1974,2302.01,2.414688151956592,0.4296506786072879,7542813,16.8600805,0.00013,0.0021937208022773796
1975,2303.01,1.6551986279837612,0.09272262298608,4458082,4.89336495,3.609e-05,0.00495760670090938
1976,2303.02,1.8845644686737333,0.5645257338937834,4458082,8.93484887,9.707e-05,0.003245881134725597
1977,2304.01,2.3129268124541094,0.1530694456252493,8042453,11.17392077,6.126e-05,0.0029519816005221843
1978,2305.01,2.7409470353755494,0.1262653487654637,10874215,31.0325991,0.0002042,0.0014016957319636248
1979,2308.01,3.998454387567712,0.890434298373884,3749978,28.5057217,0.0002837,0.0015893813414805018
1980,2309.01,2.5227469777542715,0.487440945501969,10010440,53.5991459,0.0004142,0.000891130727196301
1981,2310.01,1.871314824370216,0.1053601222895755,11718144,16.4581861,5.977e-05,0.0021465601793470646
1982,2311.03,2.1611213869229,0.7151366376254171,4247991,104.3519624,0.0006973,0.00047064934709876733
1983,2312.01,2.436389666589457,0.2245769081753386,10026544,176.331289,0.007995,0.00035021888680425266
1984,2313.01,2.489438836506014,0.1600703843036306,10132832,16.07673148,6.456e-05,0.0022816172676228654
1985,2314.01,3.033321254760093,0.1180188568738837,3219995,18.87058705,6.734e-05,0.002118400503046645
1986,2315.01,2.111428033389496,0.1616736045086577,6062929,22.1334224,0.0001092,0.0017953844103384287
